top - 00:41:16 up 1 day,  5:51,  1 user,  load average: 0.87, 1.93, 1.37
任务: 437 total,   2 running, 435 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.2 us,  9.5 sy,  0.0 ni, 53.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 128605.6 total,   1094.2 free,   7560.4 used, 119951.0 buff/cache
MiB Swap: 124999.0 total, 124420.2 free,    578.8 used. 108706.2 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     78 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     80 root      rt   0       0      0      0 S   0.0   0.0   0:01.80 migrati+
     81 root      20   0       0      0      0 S   0.0   0.0   0:00.09 ksoftir+
     83 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     84 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     86 root      rt   0       0      0      0 S   0.0   0.0   0:01.79 migrati+
     87 root      20   0       0      0      0 S   0.0   0.0   0:00.31 ksoftir+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     90 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     92 root      rt   0       0      0      0 S   0.0   0.0   0:01.80 migrati+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.14 ksoftir+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     97 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     98 root      rt   0       0      0      0 S   0.0   0.0   0:01.81 migrati+
     99 root      20   0       0      0      0 S   0.0   0.0   0:00.08 ksoftir+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    104 root      rt   0       0      0      0 S   0.0   0.0   0:02.07 migrati+
    105 root      20   0       0      0      0 S   0.0   0.0   0:00.22 ksoftir+
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    108 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    111 root      20   0       0      0      0 S   0.0   0.0   0:00.10 khungta+
    112 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
    114 root      20   0       0      0      0 S   0.0   0.0  15:54.12 kcompac+
    115 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    116 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
    163 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
    164 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    165 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
    166 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    168 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    169 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    170 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    171 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    174 root       0 -20       0      0      0 I   0.0   0.0   0:01.54 kworker+
    176 root      20   0       0      0      0 S   0.0   0.0   9:53.18 kswapd0
    177 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    181 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/121+
    182 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/121+
    184 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    185 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    186 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    187 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    188 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    189 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    190 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.47 kworker+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.10 kworker+
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.56 kworker+
    281 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
    285 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    286 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
    287 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
    307 root       0 -20       0      0      0 I   0.0   0.0   0:00.17 kworker+
    308 root       0 -20       0      0      0 I   0.0   0.0   0:00.12 kworker+
    309 root       0 -20       0      0      0 I   0.0   0.0   0:00.18 kworker+
    312 root       0 -20       0      0      0 I   0.0   0.0   0:00.54 kworker+
    313 root       0 -20       0      0      0 I   0.0   0.0   0:00.18 kworker+
    314 root       0 -20       0      0      0 I   0.0   0.0   0:00.62 kworker+
    315 root       0 -20       0      0      0 I   0.0   0.0   0:04.06 kworker+
    316 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    317 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    318 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    319 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    320 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    321 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    322 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    323 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    326 root       0 -20       0      0      0 I   0.0   0.0   0:01.45 kworker+
    327 root       0 -20       0      0      0 I   0.0   0.0   0:00.47 kworker+
    330 root       0 -20       0      0      0 I   0.0   0.0   0:00.17 kworker+
    357 root      20   0       0      0      0 S   0.0   0.0   0:00.27 jbd2/nv+
    358 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    364 root       0 -20       0      0      0 I   0.0   0.0   0:00.29 kworker+
    398 root       0 -20       0      0      0 I   0.0   0.0   0:00.26 kworker+
    401 root      19  -1   79324  16188  14276 S   0.0   0.0   0:00.98 systemd+
    429 root      20   0   25120   5724   1964 S   0.0   0.0   0:00.41 systemd+
    496 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/153+
    509 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    540 root     -51   0       0      0      0 S   0.0   0.0   0:02.18 irq/154+
    541 root     -51   0       0      0      0 S   0.0   0.0   0:00.33 irq/155+
    542 root     -51   0       0      0      0 S   0.0   0.0   0:00.18 irq/156+
    543 root     -51   0       0      0      0 S   0.0   0.0   0:00.07 irq/157+
    544 root     -51   0       0      0      0 S   0.0   0.0   0:00.11 irq/158+
    545 root     -51   0       0      0      0 S   0.0   0.0   0:00.26 irq/159+
    546 root     -51   0       0      0      0 S   0.0   0.0   0:00.15 irq/160+
    548 root     -51   0       0      0      0 S   0.0   0.0   0:00.26 irq/161+
    549 root     -51   0       0      0      0 S   0.0   0.0   0:00.07 irq/162+
    550 root     -51   0       0      0      0 S   0.0   0.0   0:00.13 irq/163+
    551 root     -51   0       0      0      0 S   0.0   0.0   0:00.06 irq/164+
    552 root     -51   0       0      0      0 S   0.0   0.0   0:00.17 irq/165+
    553 root     -51   0       0      0      0 S   0.0   0.0   0:00.06 irq/166+
    555 root     -51   0       0      0      0 S   0.0   0.0   0:00.09 irq/167+
    556 root     -51   0       0      0      0 S   0.0   0.0   0:00.12 irq/168+
    557 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/169+
    568 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    680 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
    687 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    688 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    695 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    696 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    910 systemd+  20   0   24812   9656   5444 S   0.0   0.0   0:00.83 systemd+
    911 systemd+  20   0   90908   2472   1684 S   0.0   0.0   0:00.14 systemd+
    916 root      20   0       0      0      0 S   0.0   0.0   0:00.52 jbd2/nv+
    917 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    958 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM glo+
    959 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM def+
    960 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM Too+
    979 root      20   0  250820   5660   4608 S   0.0   0.0   0:00.95 account+
    980 root      20   0    2548    504    436 S   0.0   0.0   0:00.20 acpid
    983 avahi     20   0    8704   2820   2300 S   0.0   0.0   0:01.51 avahi-d+
    984 root      20   0    8364   3120   2724 S   0.0   0.0   0:00.00 bluetoo+
    985 root      20   0   18056   2024   1760 S   0.0   0.0   0:00.09 cron
    989 message+  20   0   10040   5596   2848 S   0.0   0.0   0:03.48 dbus-da+
    992 root      20   0  422200  15300  11076 S   0.0   0.0   0:17.84 Network+
    998 root      20   0   81984   2544   2256 S   0.0   0.0   0:04.53 irqbala+
    999 root      20   0   48320  15960   7724 S   0.0   0.0   0:00.04 network+
   1006 root      20   0  254312  10064   6464 S   0.0   0.0   0:00.89 polkitd
   1007 nvidia-+  20   0    5244   1448   1292 S   0.0   0.0   0:00.00 nvidia-+
   1010 syslog    20   0  224352   3400   2104 S   0.0   0.0   0:00.24 rsyslogd
   1016 root      20   0 2057708  26112   7764 S   0.0   0.0   0:06.08 snapd
   1018 root      20   0  244352   2592   2156 S   0.0   0.0   0:00.00 switche+
   1021 root      20   0   17404   4124   3060 S   0.0   0.0   0:00.27 systemd+
   1023 root      20   0  396536   9396   5972 S   0.0   0.0   0:09.49 udisksd
   1024 root      20   0   14192   5572   4428 S   0.0   0.0   0:00.43 wpa_sup+
   1033 avahi     20   0    8348    324      0 S   0.0   0.0   0:00.00 avahi-d+
   1067 root      20   0  319220   7272   5348 S   0.0   0.0   0:00.03 ModemMa+
   1157 root      20   0  126760  16644   8976 S   0.0   0.0   0:00.02 unatten+
   1227 root      20   0  261068   7312   5840 S   0.0   0.0   0:00.29 upowerd
   1311 whoopsie  20   0  253488  11296   9348 S   0.0   0.0   0:00.06 whoopsie
   1312 kernoops  20   0   11264    448      0 S   0.0   0.0   0:01.49 kernelo+
   1314 kernoops  20   0   11264   2240   1768 S   0.0   0.0   0:01.48 kernelo+
   1318 root      20   0  248400   5920   4748 S   0.0   0.0   0:00.07 gdm3
   1323 root      20   0  175568   5968   5184 S   0.0   0.0   0:00.01 gdm-ses+
   1328 gdm       20   0   19428   5180   4016 S   0.0   0.0   0:00.07 systemd
   1329 gdm       20   0  169800   3028      0 S   0.0   0.0   0:00.00 (sd-pam)
   1334 gdm        9 -11  817384   9016   5996 S   0.0   0.0   0:00.05 pulseau+
   1336 gdm       39  19  520296  15392   7880 S   0.0   0.0   0:00.05 tracker+
   1337 gdm       20   0  172804   3796   3796 S   0.0   0.0   0:00.00 gdm-x-s+
   1339 root      20   0  254564  14644  12508 S   0.0   0.0   0:01.46 Xorg
   1342 gdm       20   0    7396   2944   2432 S   0.0   0.0   0:00.00 dbus-da+
   1343 rtkit     21   1  152936   1996   1764 S   0.0   0.0   0:00.57 rtkit-d+
   1348 gdm       20   0  248508   5284   4492 S   0.0   0.0   0:00.00 gvfsd
   1353 gdm       20   0  316532   4420   4296 S   0.0   0.0   0:00.00 gvfsd-f+
